fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2026-02-14,3129,MADRID AEROPUERTO,MADRID,609,"6,2","0,0","1,7",23:30,"10,8",14:19,"6,7","8,4","956,0",Varias,"935,5",00,49,72,23:43,39,15:13,31,"23,6",05:54
2026-02-15,3129,MADRID AEROPUERTO,MADRID,609,"6,8","0,0","-0,3",06:30,"13,8",14:26,"6,1","7,6","957,6",Varias,"955,0",16,64,90,07:49,48,14:26,27,"13,9",12:56
2026-02-16,3129,MADRID AEROPUERTO,MADRID,609,"12,1","0,0","7,3",07:09,"16,9",13:42,"6,4","4,4","956,8",Varias,"954,2",16,76,89,07:29,59,01:35,22,"15,3",09:00
2026-02-17,3129,MADRID AEROPUERTO,MADRID,609,"12,6","0,0","7,5",23:56,"17,6",13:56,"6,1","8,5","956,9",Varias,"953,0",24,68,92,23:30,48,13:41,21,"16,4",16:11
2026-02-18,3129,MADRID AEROPUERTO,MADRID,609,"9,5","0,6","6,4",01:43,"12,6",14:00,"7,8","4,1","953,0",00,"945,0",17,75,97,02:00,53,23:43,21,"18,6",11:17
2026-02-19,3129,MADRID AEROPUERTO,MADRID,609,"6,8","0,0","1,8",23:47,"11,9",14:05,"6,4","9,7","958,9",Varias,"947,9",00,50,83,23:56,38,15:34,27,"14,4",04:41
2026-02-20,3129,MADRID AEROPUERTO,MADRID,609,"7,4","0,0","-1,0",07:13,"15,9",16:04,"1,1","10,0","962,0",Varias,"958,8",00,67,96,06:23,33,16:05,26,"6,1",14:38
2026-02-21,3129,MADRID AEROPUERTO,MADRID,609,"9,2","0,0","-0,9",07:18,"19,4",15:02,"1,4","10,0","963,6",Varias,"960,4",17,54,94,07:24,24,15:59,23,"5,8",15:49
2026-02-22,3129,MADRID AEROPUERTO,MADRID,609,"10,4","0,0","0,6",07:27,"20,3",15:38,"1,7","10,0","962,6",Varias,"958,9",16,59,95,06:57,28,14:41,99,"6,1",Varias
2026-02-23,3129,MADRID AEROPUERTO,MADRID,609,"11,2","0,0","1,1",07:00,"21,2",15:00,"1,7","9,7","960,2",00,"955,5",17,53,91,07:00,32,Varias,19,"2,8",Varias
2026-02-24,3129,MADRID AEROPUERTO,MADRID,609,"11,5","0,0","2,2",06:40,"20,8",16:10,"1,7","9,9","956,1",00,"950,2",16,53,100,Varias,23,16:50,21,"5,0",15:20
2026-02-25,3129,MADRID AEROPUERTO,MADRID,609,"11,9","0,0","2,2",06:50,"21,6",14:54,"1,4","8,4","954,8",24,"950,0",14,56,92,06:37,25,15:28,13,"6,7",23:21
2026-02-26,3129,MADRID AEROPUERTO,MADRID,609,"13,0","0,0","2,9",07:11,"23,1",15:17,"1,1","10,1","959,3",09,"954,7",00,51,87,07:48,22,16:11,99,"4,7",Varias
2026-02-27,3129,MADRID AEROPUERTO,MADRID,609,"11,3","0,0","2,5",06:52,"20,1",15:27,"1,9","9,4","957,6",00,"951,5",16,57,88,Varias,32,15:18,21,"9,7",15:56
2026-02-28,3129,MADRID AEROPUERTO,MADRID,609,"11,8","0,0","5,1",06:49,"18,6",14:41,"1,9","8,7","956,5",Varias,"953,1",04,63,87,06:58,36,15:52,99,"8,3",Varias
2026-03-01,3129,MADRID AEROPUERTO,MADRID,609,"10,2","0,0","6,3",06:11,"14,2",14:51,"2,2","4,5","957,2",Varias,"952,0",24,70,87,06:22,51,15:08,18,"6,7",11:02
2026-03-02,3129,MADRID AEROPUERTO,MADRID,609,"10,2",Ip,"3,2",06:54,"17,3",15:20,"2,8","8,5","952,0",00,"944,8",16,70,96,08:15,44,15:04,14,"10,3",16:20
2026-03-03,3129,MADRID AEROPUERTO,MADRID,609,"13,3","0,0","9,3",23:31,"17,3",13:51,"3,1","0,4","950,4",Varias,"947,4",16,61,86,01:21,44,14:19,03,"8,9",19:24
2026-03-04,3129,MADRID AEROPUERTO,MADRID,609,"12,0",Ip,"6,2",06:43,"17,7",13:37,"1,9","3,7","950,4",00,"946,4",15,65,88,07:12,42,13:19,99,"8,9",Varias
2026-03-05,3129,MADRID AEROPUERTO,MADRID,609,"12,7","7,1","7,9",06:56,"17,5",15:51,"2,5","4,9","947,9",01,"941,6",16,78,94,Varias,47,15:55,35,"9,7",16:06
2026-03-06,3129,MADRID AEROPUERTO,MADRID,609,"9,4","6,4","8,2",Varias,"10,5",14:14,"3,6","0,0","948,0",Varias,"942,9",04,85,97,01:28,71,21:01,03,"13,3",Varias
2026-03-07,3129,MADRID AEROPUERTO,MADRID,609,"9,3","2,2","6,3",23:48,"12,3",16:36,"1,4","2,3","951,5",Varias,"946,7",04,76,93,12:02,55,16:38,99,"7,8",Varias
2026-03-08,3129,MADRID AEROPUERTO,MADRID,609,"10,3","0,4","5,8",23:54,"14,8",15:25,"1,4","2,3","953,8",Varias,"951,0",03,75,96,Varias,50,15:33,25,"6,7",15:31
